"pk_TableID","refNumber","fk_CreatedBy","createdDate","modifiedDate","status","fk_ProjectID","isImported","fk_ConnectorID","versionDisabled","arrDependency","tableDBConfig","createPhysicalTable","database_name","typeOfTable","profilingData","fk_connectionId","schema"
"01546678-6ddf-474f-b96b-f981a825b23f",tbl_userdefinedalerts,a7213db3-af1d-4810-ac21-e49160b82291,1742895294383,1742895294383,1,1,1,0,,,"{""dbConfig"":{""type"":""database"",""engine"":""redshift"",""databaseType"":""redshift"",""database"":""monitor_demo_externaldemo"",""connectionLimit"":0,""host"":""byteverse-db.c2y11beny3k0.us-east-1.rds.amazonaws.com"",""port"":""3306"",""user"":""usr"",""password"":""aPCC9QzHvnDbKLVH"",""cacheResponse"":false},""queryConfig"":{""table"":""tbl_userdefinedalerts""}}",,,,,"7fb9e0ae-2d35-4994-ae60-92b653bdf70a",default
"02472636-3288-4426-865a-f915f4cd029d",product_kavish1,a7213db3-af1d-4810-ac21-e49160b82291,1742894852906,1742894852906,1,1,1,0,,,"{""dbConfig"":{""type"":""database"",""engine"":""redshift"",""databaseType"":""redshift"",""database"":""byteverse_aws_dev"",""connectionLimit"":0,""host"":""airflow-postgres.c2y11beny3k0.us-east-1.rds.amazonaws.com"",""port"":""5432"",""user"":""postgres"",""password"":""By8Pr0phecy$2016"",""cacheResponse"":false},""queryConfig"":{""table"":""product_kavish1""}}",,,,,"1",public
"02f2d3eb-f7d8-4490-b472-4eb2f7093a1d",quality_crqs_historical_dp_1,a7213db3-af1d-4810-ac21-e49160b82291,1743153553060,1743153553060,1,1,1,0,,,"{""dbConfig"":{""type"":""database"",""engine"":""redshift"",""databaseType"":""redshift"",""database"":""postgres"",""connectionLimit"":0,""host"":""airflow-postgres.c2y11beny3k0.us-east-1.rds.amazonaws.com"",""port"":""5432"",""user"":""postgres"",""password"":""By8Pr0phecy$2016"",""cacheResponse"":false},""queryConfig"":{""table"":""quality_crqs_historical_dp_1""}}",,,,,"62b38135-5f48-4c93-af6b-4982d75c1e0c",s3source
"043c032a-b975-4005-bd85-8265bb439e14",tbl_mainkpimaster_welspun,a7213db3-af1d-4810-ac21-e49160b82291,1742895294389,1742895294389,1,1,1,0,,,"{""dbConfig"":{""type"":""database"",""engine"":""redshift"",""databaseType"":""redshift"",""database"":""monitor_demo_externaldemo"",""connectionLimit"":0,""host"":""byteverse-db.c2y11beny3k0.us-east-1.rds.amazonaws.com"",""port"":""3306"",""user"":""usr"",""password"":""aPCC9QzHvnDbKLVH"",""cacheResponse"":false},""queryConfig"":{""table"":""tbl_mainkpimaster_welspun""}}",,,,,"7fb9e0ae-2d35-4994-ae60-92b653bdf70a",default
"079c3140-cb63-49ae-bdb5-9c41ec937c1c",weather_forcast_city,a7213db3-af1d-4810-ac21-e49160b82291,1743153553053,1743153553053,1,1,1,0,,,"{""dbConfig"":{""type"":""database"",""engine"":""redshift"",""databaseType"":""redshift"",""database"":""postgres"",""connectionLimit"":0,""host"":""airflow-postgres.c2y11beny3k0.us-east-1.rds.amazonaws.com"",""port"":""5432"",""user"":""postgres"",""password"":""By8Pr0phecy$2016"",""cacheResponse"":false},""queryConfig"":{""table"":""weather_forcast_city""}}",,,,,"62b38135-5f48-4c93-af6b-4982d75c1e0c",s3source
"085bbb0c-d42e-4ccc-b2ef-d2da4de92c01",ayush_sales_gen_test_moc,a7213db3-af1d-4810-ac21-e49160b82291,1743153553042,1743153553042,1,1,1,0,,,"{""dbConfig"":{""type"":""database"",""engine"":""redshift"",""databaseType"":""redshift"",""database"":""postgres"",""connectionLimit"":0,""host"":""airflow-postgres.c2y11beny3k0.us-east-1.rds.amazonaws.com"",""port"":""5432"",""user"":""postgres"",""password"":""By8Pr0phecy$2016"",""cacheResponse"":false},""queryConfig"":{""table"":""ayush_sales_gen_test_moc""}}",,,,,"62b38135-5f48-4c93-af6b-4982d75c1e0c",s3source
"09c5a24b-96b5-486d-aee9-3b0381434616",test_miloni,a7213db3-af1d-4810-ac21-e49160b82291,1743153553031,1743153553031,1,1,1,0,,,"{""dbConfig"":{""type"":""database"",""engine"":""redshift"",""databaseType"":""redshift"",""database"":""postgres"",""connectionLimit"":0,""host"":""airflow-postgres.c2y11beny3k0.us-east-1.rds.amazonaws.com"",""port"":""5432"",""user"":""postgres"",""password"":""By8Pr0phecy$2016"",""cacheResponse"":false},""queryConfig"":{""table"":""test_miloni""}}",,,,,"62b38135-5f48-4c93-af6b-4982d75c1e0c",public
"0c6fe31d-ed08-41c8-8949-a44945c494a5",ayush_sales_gen_test_sc1,a7213db3-af1d-4810-ac21-e49160b82291,1743153553027,1743153553027,1,1,1,0,,,"{""dbConfig"":{""type"":""database"",""engine"":""redshift"",""databaseType"":""redshift"",""database"":""postgres"",""connectionLimit"":0,""host"":""airflow-postgres.c2y11beny3k0.us-east-1.rds.amazonaws.com"",""port"":""5432"",""user"":""postgres"",""password"":""By8Pr0phecy$2016"",""cacheResponse"":false},""queryConfig"":{""table"":""ayush_sales_gen_test_sc1""}}",,,,,"62b38135-5f48-4c93-af6b-4982d75c1e0c",iceberg_meta
"0f62df32-98dc-40e2-b6f1-a60c9752eb35",actions_tag_dp,a7213db3-af1d-4810-ac21-e49160b82291,1743153553026,1743153553026,1,1,1,0,,,"{""dbConfig"":{""type"":""database"",""engine"":""redshift"",""databaseType"":""redshift"",""database"":""postgres"",""connectionLimit"":0,""host"":""airflow-postgres.c2y11beny3k0.us-east-1.rds.amazonaws.com"",""port"":""5432"",""user"":""postgres"",""password"":""By8Pr0phecy$2016"",""cacheResponse"":false},""queryConfig"":{""table"":""actions_tag_dp""}}",,,,,"62b38135-5f48-4c93-af6b-4982d75c1e0c",iceberg
"0f7207bd-dbf9-42a8-89ec-78c46cd9cf75",all_sales_data12,a7213db3-af1d-4810-ac21-e49160b82291,1743153553054,1743153553054,1,1,1,0,,,"{""dbConfig"":{""type"":""database"",""engine"":""redshift"",""databaseType"":""redshift"",""database"":""postgres"",""connectionLimit"":0,""host"":""airflow-postgres.c2y11beny3k0.us-east-1.rds.amazonaws.com"",""port"":""5432"",""user"":""postgres"",""password"":""By8Pr0phecy$2016"",""cacheResponse"":false},""queryConfig"":{""table"":""all_sales_data12""}}",,,,,"62b38135-5f48-4c93-af6b-4982d75c1e0c",s3source
